generation,gender,fav_animals,fav_place,edu_level,Cluster
Millennialsi,Mężczyzna,Brak ulubionych,W górach,Wyższe,Cluster 1
Gen X,Mężczyzna,Psy,W górach,Średnie,Cluster 2
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Inne,W lesie,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Psy,W górach,Średnie,Cluster 1
Gen X,Mężczyzna,Inne,W lesie,Średnie,Cluster 3
Nieznane,Kobieta,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 1
Gen X,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Boomersi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Millennialsi,Kobieta,Psy,W lesie,Średnie,Cluster 1
Millennialsi,Mężczyzna,Psy,,Wyższe,Cluster 1
Millennialsi,Kobieta,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Brak ulubionych,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Brak ulubionych,,Wyższe,Cluster 1
Gen X,Mężczyzna,Inne,Inne,Średnie,Cluster 0
Gen X,Mężczyzna,Brak ulubionych,W górach,Średnie,Cluster 2
Boomersi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,W górach,Średnie,Cluster 1
Millennialsi,Kobieta,Koty,W górach,Wyższe,Cluster 1
Gen X,Kobieta,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,W lesie,Średnie,Cluster 1
Gen X,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,W górach,Wyższe,Cluster 1
Gen X,Mężczyzna,Psy,Inne,Wyższe,Cluster 0
Gen X,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,,Wyższe,Cluster 1
